t	vTarget	vAdjusted	xTarget	xAdjusted	xMelt	dxMelt	stepCommand	stepAdjust
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.010	0.200	0.220	0.002	0.002	0.023	0.012	20.000	1.000
0.020	0.200	0.220	0.004	0.002	0.047	0.012	20.000	2.000
0.030	0.200	0.219	0.006	0.002	0.069	0.011	20.000	2.000
0.040	0.200	0.219	0.008	0.002	0.092	0.011	20.000	2.000
0.050	0.200	0.219	0.010	0.002	0.114	0.011	20.000	2.000
0.060	0.200	0.219	0.012	0.002	0.136	0.011	20.000	2.000
0.070	0.200	0.218	0.014	0.002	0.158	0.011	20.000	1.000
0.080	0.200	0.218	0.016	0.002	0.179	0.011	20.000	2.000
0.090	0.200	0.218	0.018	0.002	0.201	0.011	20.000	2.000
0.100	0.200	0.218	0.020	0.002	0.221	0.010	20.000	2.000
0.110	0.400	0.437	0.024	0.004	0.265	0.022	40.000	4.000
0.120	0.400	0.437	0.028	0.004	0.309	0.022	40.000	4.000
0.130	0.400	0.436	0.032	0.004	0.352	0.022	40.000	3.000
0.140	0.400	0.436	0.036	0.004	0.394	0.021	40.000	4.000
0.150	0.400	0.436	0.040	0.004	0.436	0.021	40.000	4.000
0.160	0.400	0.435	0.044	0.004	0.477	0.021	40.000	4.000
0.170	0.400	0.435	0.048	0.004	0.518	0.020	40.000	4.000
0.180	0.400	0.434	0.052	0.004	0.558	0.020	40.000	3.000
0.190	0.400	0.434	0.056	0.004	0.598	0.020	40.000	3.000
0.200	0.600	0.653	0.062	0.007	0.661	0.031	60.000	6.000
0.210	0.600	0.653	0.068	0.007	0.722	0.031	60.000	5.000
0.220	0.600	0.652	0.074	0.007	0.784	0.031	60.000	5.000
0.230	0.600	0.651	0.080	0.007	0.844	0.030	60.000	5.000
0.240	0.600	0.651	0.086	0.007	0.903	0.030	60.000	5.000
0.250	0.600	0.650	0.092	0.006	0.962	0.029	60.000	5.000
0.260	0.600	0.649	0.098	0.006	1.020	0.029	60.000	5.000
0.270	0.600	0.649	0.104	0.006	1.077	0.029	60.000	5.000
0.280	0.600	0.648	0.110	0.006	1.134	0.028	60.000	5.000
0.290	0.600	0.647	0.116	0.006	1.189	0.028	60.000	5.000
0.300	1.000	1.087	0.126	0.011	1.291	0.051	100.000	9.000
0.310	1.000	1.086	0.136	0.011	1.392	0.050	100.000	8.000
0.320	1.000	1.084	0.146	0.011	1.491	0.050	100.000	8.000
0.330	1.000	1.083	0.156	0.011	1.589	0.049	100.000	9.000
0.340	1.000	1.082	0.166	0.011	1.686	0.049	100.000	8.000
0.350	1.000	1.081	0.176	0.011	1.781	0.048	100.000	8.000
0.360	1.000	1.080	0.186	0.011	1.876	0.047	100.000	8.000
0.370	1.000	1.079	0.196	0.011	1.969	0.047	100.000	8.000
0.380	1.000	1.078	0.206	0.011	2.061	0.046	100.000	8.000
0.390	1.000	1.077	0.216	0.011	2.151	0.045	100.000	7.000
0.400	2.001	2.176	0.236	0.022	2.358	0.104	200.000	17.000
0.410	2.001	2.174	0.256	0.022	2.562	0.102	200.000	17.000
0.420	2.001	2.171	0.276	0.022	2.764	0.101	200.000	17.000
